page_url	image_url	author	title	annotation	genre
https://www.biblio-globus.ru/product/10870089	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10870089.jpg	По Э.А.	Безумие любви и смерти	"«Безумие любви и смерти» — леденящая душу антология текстов и рисунков, посвященная всем влюбленным в творчество Эдгара Аллана По. 
Восемь самых знаменитых работ непревзойденного американского мастера ужасов в причудливом ритме..."	Классическая литература
https://www.biblio-globus.ru/product/10873039	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10873039.jpg	Готорн Н. 	Алая буква (новый перевод)	"«Алая буква» – самый известный из романов Натаниеля Готорна. Об этом романе спорили в гостиных всей Европы, а в России, вскоре после выхода, он был запрещен цензурой по личному приказу Николая I. 
Красавица Эстер Принн, выданная..."	Классическая литература
https://www.biblio-globus.ru/product/10871648	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10871648.jpg	Сей-Сёнагон 	Записки у изголовья	Записки у изголовья - шедевр классической японской литературы, созданный около тысячи лет тому назад и до сих пор не утративший своего значения. Это собрание дневниковых заметок, житейских наблюдений, картин природы, нравов и...	Классическая литература
https://www.biblio-globus.ru/product/10870914	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10870914.jpg	О.Генри 	Дары волхвов	Знаменитый американский писатель О. Генри (Уильям Сидни Портер) — автор популярных коротких рассказов, мастер оригинальных поворотов сюжета, колоритных диалогов и ошеломляющих развязок. Творческое наследие писателя составляют...	Классическая литература
https://www.biblio-globus.ru/product/10870483	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10870483.jpg	Моэм С. 	Луна и шесть пенсов. Узорный покров	"Луна и шесть пенсов — потрясающая история художника, бросившего все ради своей мечты.
Его страсть — свобода.
Его жизнь — творчество.
Его рай — экзотический остров Полинезии.
А его прошлое — лишь эскиз к самой величайшей его..."	Классическая литература
https://www.biblio-globus.ru/product/10860060	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10860060.jpg	Уайльд О.	Соловей и роза	Легендарный английский писатель, поэт, драматург и философ Оскар Уайльд (1854-1900) начал сочинять сказки после того, как на свет появились его сыновья Сирил и Вивиан. Однако сам он называл свои сказочные произведения этюдами в...	Классическая литература
https://www.biblio-globus.ru/product/10869143	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10869143.jpg		Лермонтов без глянца	В этой книге собраны отрывки из воспоминаний современников М. Ю. Лермонтова, его друзей и родных. За многочисленными голосами, каждый из которых претендует на беспристрастность, читатель сможет различить могучий и противоречивый...	Классическая литература
https://www.biblio-globus.ru/product/10869142	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10869142.jpg		Гоголь без глянца	Гоголь без глянца - доументальная мозаика, составленная из фрагментов воспоминаний современников писателя, а также документов и свидетельств, собранных его первыми биографами, высказываний и писем самого Гоголя.	Классическая литература
https://www.biblio-globus.ru/product/10869144	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10869144.jpg		Достоевский без глянца	В книгу вошли отрывки из воспоминаний о Ф. М. Достоевском, фрагменты переписки, редкие свидетельства, воссоздающие подлинную канву его биографии. Здесь собраны только факты, из уст самых близких людей, исключающие позднейшие...	Классическая литература
https://www.biblio-globus.ru/product/10868331	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10868331.jpg	Бальзак О. де 	Озорные рассказы. Все три десятка	"Любовные треугольники. Измены. Страсти.
Порок, штурмующий добродетель.
Веселые амурные приключения...

Очаровательный сборник новелл «Озорные рассказы» — это своеобразный «ответ» великого писателя-реалиста романтикам с их..."	Классическая литература
https://www.biblio-globus.ru/product/10867907	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10867907.jpg	Арсеньев В.К. 	Дерсу Узала	"Нестареющая история, экранизированная в 1975-м году одним из величайших режиссеров в истории кино Акирой Куросавой. 
В основе повести совместные странствия, опасные приключения и большая дружба, связавшая в начале ХХ столетия..."	Классическая литература
https://www.biblio-globus.ru/product/10867578	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10867578.jpg	Герберт Ф. 	Дюна	Фрэнк Герберт успел написать много, но в истории остался прежде всего как автор эпопеи «Дюна». Возможно, самой прославленной фантастической саги двадцатого столетия, саги, переведенной на десятки языков и завоевавшей по всему...	Классическая литература
